drug	n_gwas_target_genes	approved	genes
SB220025	1	False	ERBB4
DACOMITINIB ANHYDROUS	1	True	ERBB4
GEFITINIB	1	True	ERBB4
NEUREGULIN-2	1	False	ERBB4
XILIERTINIB	1	False	ERBB4
ACALABRUTINIB	1	True	ERBB4
CURCUMIN	1	True	ERBB4
NERATINIB MALEATE	1	True	ERBB4
NEUREGULIN-4	1	False	ERBB4
PELITINIB	1	False	ERBB4
AFATINIB	1	True	ERBB4
LAUROGUADINE	1	False	ERBB4
CIMAGLERMIN ALFA	1	False	ERBB4
TARLOXOTINIB	1	False	ERBB4
CANERTINIB DIHYDROCHLORIDE	1	False	ERBB4
WZ4002	1	False	ERBB4
EGFR/ERBB-2/ERBB-4 INHIBITOR	1	False	ERBB4
JNJ-26483327	1	False	ERBB4
KBP5209	1	False	ERBB4
COMPOUND 38 [PMID: 24915291]	1	False	ERBB4
COMPOUND 9 [PMID: 26006010]	1	False	ERBB4
BIX02189	1	False	ERBB4
NEUREGULIN-1	1	False	ERBB4
IBRUTINIB	1	True	ERBB4
DIMETHYLCURCUMIN	1	False	ERBB4
EPIREGULIN	1	False	ERBB4
RY796	1	False	KIF1A
QUININE	1	True	KIF1A
TETRAMETHYLAMMONIUM	1	False	KIF1A
RY785	1	False	KIF1A
DALFAMPRIDINE	1	True	KIF1A
GXTX-1E	1	False	KIF1A
SULCARDINE SULFATE	1	False	SLC25A20
LEVOCARNITINE PROPIONATE	1	False	SLC25A20
BUDIODARONE	1	False	SLC25A20
BEPRIDIL	1	True	SLC25A20
TETRANDRINE	1	False	SLC25A20
DIPROTEVERINE	1	False	SLC25A20
NEXOPAMIL	1	False	SLC25A20
ROXADUSTAT	1	True	P4HTM
DAPRODUSTAT	1	True	P4HTM
OCRIPLASMIN	1	True	LAMB2
KL044	1	False	GPX1
ROTTLERIN	1	False	RHOA
PRAVASTATIN SODIUM	1	True	RHOA
CLAUSINE E	1	False	RHOA
SIMVASTATIN	1	True	RHOA
NS004	1	False	RHOA
NS1619	1	False	RHOA
SPM-354	1	False	AMT
W146	1	False	AMT
SPHINGOSINE 1-PHOSPHATE	1	False	AMT
A-971432	1	False	AMT
SAR247799	1	False	AMT
FINGOLIMOD-PHOSPHATE	1	False	AMT
AFD(R)	1	False	AMT
ASP4058	1	False	AMT
RP-101075	1	False	AMT
VPC44116	1	False	AMT
SEW2871	1	False	AMT
RP-001	1	False	AMT
BMS-986104 DERIVATIVE 24	1	False	AMT
CYM5442	1	False	AMT
COMPOUND 43 [PMID: 26751273]	1	False	AMT
FINGOLIMOD	1	True	AMT
VPC03090-P	1	False	AMT
BMS-986104 DERIVATIVE 12	1	False	AMT
ST-2191	1	False	AMT
AMISELIMOD PHOSPHATE	1	False	AMT
PONESIMOD	1	True	AMT
GSK-2018682	1	False	AMT
COMPOUND 26 [PMID: 16190743]	1	False	AMT
SIPONIMOD	1	True	AMT
CYM5181	1	False	AMT
AUY954	1	False	AMT
ETRASIMOD	1	True	AMT
ST-1505	1	False	AMT
ICANBELIMOD	1	False	AMT
CENERIMOD	1	False	AMT
OZANIMOD	1	True	AMT
NIBR-0213	1	False	AMT
VPC23019	1	False	AMT
BMS-986166	1	False	AMT
ST-1478	1	False	AMT
UAMC00039	1	False	DAG1
2MESATP	1	False	APEH
NF546	1	False	APEH
ADP&BETA;S	1	False	APEH
DATP	1	False	APEH
ATP&GAMMA;S	1	False	APEH
NF340	1	False	APEH
NADIDE	1	False	APEH
NF157	1	False	APEH
ADP	1	False	APEH
REACTIVE BLUE-2	1	False	APEH
URIDINE 5'-TRIPHOSPHATE	1	False	APEH
NAADP	1	False	APEH
AR-C67085	1	False	APEH
NARNATUMAB	1	False	MST1R
MK-8033	1	False	MST1R
CHEMBL:CHEMBL1997335	1	False	MST1R
EMD-1201081	1	False	TLR9
DEMETHOXYCURCUMIN	1	False	TLR9
TLR-DIRECTED CATIONIC LIPID-DNA COMPLEX JVRS-100	1	False	TLR9
LEFITOLIMOD	1	False	TLR9
TLR AGONIST CADI-05	1	False	TLR9
IMO-2055	1	False	TLR9
HYDROXYCHLOROQUINE	1	True	TLR9
GNKG-168	1	False	TLR9
TILSOTOLIMOD	1	False	TLR9
ADALIMUMAB-ADBM	1	True	TLR9
COBITOLIMOD	1	False	TLR9
MICROPARTICLE MDP/BACTERIAL DNA-CONTAINING MIS416	1	False	TLR9
CAVROTOLIMOD	1	False	TLR9
COBITOLIMOD SODIUM	1	False	TLR9
CHEMBL:CHEMBL1520346	1	False	TLR9
CPG OLIGODEOXYNUCLEOTIDE TLR9 AGONIST DV281	1	False	TLR9
CHLOROQUINE	1	True	TLR9
TLR9 AGONIST SD-101	1	False	TLR9
TILSOTOLIMOD SODIUM	1	False	TLR9
HYDROXYCHLOROQUINE SULFATE	1	True	TLR9
1018 ISS	1	False	TLR9
CPG 10101	1	False	TLR9
AGATOLIMOD SODIUM	1	True	TLR9
VIDUTOLIMOD	1	False	TLR9
BAZLITORAN	1	False	TLR9
LITENIMOD	1	False	TLR9
ISS-1018	1	False	TLR9
CDK9 INHIBITOR PRT2527	1	False	PBRM1
DURVALUMAB	1	True	PBRM1
IPILIMUMAB	1	True	PBRM1
NIVOLUMAB	1	True	PBRM1
PEMBROLIZUMAB	1	True	PBRM1
CTLA-4-TARGETING AGENT	1	False	PBRM1
FAVIPIRAVIR	1	False	PBRM1
MYELOID CELL LEUKEMIA 1 INHIBITOR PRT1419	1	False	PBRM1
ANTI-PD-L1 MONOCLONAL ANTIBODY	1	False	PBRM1
BELZUTIFAN	1	True	PBRM1
APITOLISIB	1	False	PBRM1
GSK126	1	False	PBRM1
ATEZOLIZUMAB	1	True	PBRM1
CYCLOPHOSPHAMIDE ANHYDROUS	1	True	GNL3
EPIRUBICIN	1	True	GNL3
PHA-767491	1	False	NEK4
TRICHOSTATIN A	1	False	FHIT
FRUCTOSE	1	True	FHIT
SBP-7455	1	False	FHIT
AZELAIC ACID	1	True	MBNL1
CHEMBL:CHEMBL600309	1	False	MBNL1
CHEMBL:CHEMBL588234	1	False	MBNL1
EPINEPHRINE BITARTRATE	1	True	MBNL1
CHEMBL:CHEMBL2374078	1	False	MBNL1
