molecule_chembl_id,molecule_name,target_chembl_id,target_name,standard_value,standard_units,standard_type
CHEMBL15148,,CHEMBL354,Escherichia coli,0.8,ug.mL-1,MIC
CHEMBL273348,TOSUFLOXACIN,CHEMBL354,Escherichia coli,0.025,ug.mL-1,MIC
CHEMBL2367602,,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL2367656,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL8,CIPROFLOXACIN,CHEMBL354,Escherichia coli,0.025,ug.mL-1,MIC
CHEMBL8,CIPROFLOXACIN,CHEMBL354,Escherichia coli,0.05,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,8.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,64.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,0.06,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,2.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,1.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,4.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL302400,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL311792,,CHEMBL354,Escherichia coli,3.13,ug.mL-1,MIC
CHEMBL310789,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL312026,,CHEMBL354,Escherichia coli,0.78,ug.mL-1,MIC
CHEMBL421336,,CHEMBL354,Escherichia coli,0.78,ug.mL-1,MIC
CHEMBL416273,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL416273,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL48393,,CHEMBL354,Escherichia coli,0.125,ug.mL-1,MIC
CHEMBL48393,,CHEMBL354,Escherichia coli,0.03,ug.mL-1,MIC
CHEMBL137668,,CHEMBL354,Escherichia coli,128.0,ug.mL-1,MIC
CHEMBL137668,,CHEMBL354,Escherichia coli,16.0,ug.mL-1,MIC
CHEMBL15021,,CHEMBL354,Escherichia coli,0.025,ug.mL-1,MIC
CHEMBL15480,,CHEMBL354,Escherichia coli,0.2,ug.mL-1,MIC
CHEMBL174915,,CHEMBL354,Escherichia coli,156.25,ug.mL-1,MIC
