species,model,gene1,gene2,inhibition_A,inhibition_B,growth_ratio,fitness
E. coli,iML1515,murA,fabH,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,fabH,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,fabH,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,fabH,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,fabH,0.775,1.0,0.0,1.0
E. coli,iML1515,murA,fabH,1.0,0.1,0.0,1.0
E. coli,iML1515,murA,fabH,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,fabH,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,fabH,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,fabH,1.0,1.0,0.0,1.0
E. coli,iML1515,murA,accA,0.1,0.1,1.0,-0.0
E. coli,iML1515,murA,accA,0.1,0.325,1.0,-0.0
E. coli,iML1515,murA,accA,0.1,0.55,1.0,-0.0
E. coli,iML1515,murA,accA,0.1,0.775,1.0,-0.0
E. coli,iML1515,murA,accA,0.1,1.0,-0.0,1.0
E. coli,iML1515,murA,accA,0.325,0.1,1.0,0.0
E. coli,iML1515,murA,accA,0.325,0.325,1.0,-0.0
E. coli,iML1515,murA,accA,0.325,0.55,1.0,-0.0
E. coli,iML1515,murA,accA,0.325,0.775,1.0,-0.0
E. coli,iML1515,murA,accA,0.325,1.0,0.0,1.0
E. coli,iML1515,murA,accA,0.55,0.1,1.0,-0.0
E. coli,iML1515,murA,accA,0.55,0.325,1.0,-0.0
E. coli,iML1515,murA,accA,0.55,0.55,1.0,-0.0
E. coli,iML1515,murA,accA,0.55,0.775,1.0,-0.0
E. coli,iML1515,murA,accA,0.55,1.0,0.0,1.0
E. coli,iML1515,murA,accA,0.775,0.1,1.0,-0.0
E. coli,iML1515,murA,accA,0.775,0.325,1.0,-0.0
E. coli,iML1515,murA,accA,0.775,0.55,1.0,-0.0
E. coli,iML1515,murA,accA,0.775,0.775,1.0,-0.0
E. coli,iML1515,murA,accA,0.775,1.0,-0.0,1.0
E. coli,iML1515,murA,accA,1.0,0.1,-0.0,1.0
E. coli,iML1515,murA,accA,1.0,0.325,0.0,1.0
E. coli,iML1515,murA,accA,1.0,0.55,0.0,1.0
E. coli,iML1515,murA,accA,1.0,0.775,0.0,1.0
E. coli,iML1515,murA,accA,1.0,1.0,0.0,1.0
S. aureus,iYS1720,murA,murB,0.1,0.1,1.0,0.0
S. aureus,iYS1720,murA,murB,0.1,0.325,1.0,0.0
S. aureus,iYS1720,murA,murB,0.1,0.55,1.0,0.0
S. aureus,iYS1720,murA,murB,0.1,0.775,1.0,0.0
S. aureus,iYS1720,murA,murB,0.1,1.0,0.0,1.0
S. aureus,iYS1720,murA,murB,0.325,0.1,1.0,0.0
S. aureus,iYS1720,murA,murB,0.325,0.325,1.0,0.0
S. aureus,iYS1720,murA,murB,0.325,0.55,1.0,0.0
S. aureus,iYS1720,murA,murB,0.325,0.775,1.0,0.0
S. aureus,iYS1720,murA,murB,0.325,1.0,-0.0,1.0
S. aureus,iYS1720,murA,murB,0.55,0.1,1.0,0.0
S. aureus,iYS1720,murA,murB,0.55,0.325,1.0,0.0
S. aureus,iYS1720,murA,murB,0.55,0.55,1.0,0.0
S. aureus,iYS1720,murA,murB,0.55,0.775,1.0,0.0
S. aureus,iYS1720,murA,murB,0.55,1.0,0.0,1.0
S. aureus,iYS1720,murA,murB,0.775,0.1,1.0,0.0
S. aureus,iYS1720,murA,murB,0.775,0.325,1.0,0.0
S. aureus,iYS1720,murA,murB,0.775,0.55,1.0,0.0
S. aureus,iYS1720,murA,murB,0.775,0.775,1.0,0.0
S. aureus,iYS1720,murA,murB,0.775,1.0,-0.0,1.0
S. aureus,iYS1720,murA,murB,1.0,0.1,0.0,1.0
S. aureus,iYS1720,murA,murB,1.0,0.325,0.0,1.0
S. aureus,iYS1720,murA,murB,1.0,0.55,0.0,1.0
S. aureus,iYS1720,murA,murB,1.0,0.775,0.0,1.0
S. aureus,iYS1720,murA,murB,1.0,1.0,0.0,1.0
S. aureus,iYS1720,murA,murC,0.1,0.1,1.0,0.0
S. aureus,iYS1720,murA,murC,0.1,0.325,1.0,0.0
S. aureus,iYS1720,murA,murC,0.1,0.55,1.0,0.0
S. aureus,iYS1720,murA,murC,0.1,0.775,1.0,0.0
S. aureus,iYS1720,murA,murC,0.1,1.0,0.0,1.0
S. aureus,iYS1720,murA,murC,0.325,0.1,1.0,0.0
S. aureus,iYS1720,murA,murC,0.325,0.325,1.0,0.0
S. aureus,iYS1720,murA,murC,0.325,0.55,1.0,0.0
S. aureus,iYS1720,murA,murC,0.325,0.775,1.0,0.0
S. aureus,iYS1720,murA,murC,0.325,1.0,0.0,1.0
